timestamp,CPU load in % for core FSP-1261
2017-06-21T16:39:29.330016Z,1.41
2017-06-21T16:39:30.330014Z,1.41
2017-06-21T16:39:31.330015Z,1.41
2017-06-21T16:39:26.330015Z,1.41
2017-06-21T16:39:27.330015Z,1.41
0001-01-01T00:00:08.096267Z,1.42
0001-01-01T00:00:09.096262Z,1.41
0001-01-01T00:00:10.096260Z,1.41
0001-01-01T00:00:11.096260Z,1.41
0001-01-01T00:00:12.096259Z,1.41
2017-06-21T16:39:07.330013Z,1.43
2017-06-21T16:39:08.330014Z,1.41
2017-06-21T16:39:09.330015Z,1.42
2017-06-21T16:39:10.330014Z,1.42
2017-06-21T16:39:11.330015Z,1.41
2017-06-21T16:39:12.330014Z,1.42
2017-06-21T16:39:13.330016Z,1.41
2017-06-21T16:39:14.330014Z,1.41
2017-06-21T16:39:15.330015Z,1.41
2017-06-21T16:39:16.330014Z,1.41
2017-06-21T16:39:37.330016Z,1.4
2017-06-21T16:39:38.330014Z,1.4
2017-06-21T16:39:39.330015Z,1.4
2017-06-21T16:39:40.330014Z,1.4
2017-06-21T16:39:41.330022Z,2.13
2017-06-21T16:39:42.330021Z,2.13
2017-06-21T16:39:43.330019Z,2.13
2017-06-21T16:39:44.330021Z,2.13
2017-06-21T16:39:45.330021Z,2.14
2017-06-21T16:39:46.330022Z,2.13
2017-06-21T16:39:47.330020Z,2.14
2017-06-21T16:39:48.330022Z,2.19
2017-06-21T16:39:49.330023Z,2.18
2017-06-21T16:39:50.330022Z,2.2
2017-06-21T16:39:51.330022Z,2.18
2017-06-21T16:39:52.330022Z,2.18
2017-06-21T16:39:53.330022Z,2.18
2017-06-21T16:39:54.330021Z,2.18
2017-06-21T16:39:55.330035Z,4.26
2017-06-21T16:39:56.330049Z,4.86
0001-01-01T00:00:11.965438Z,1.42
0001-01-01T00:00:12.965432Z,1.42
0001-01-01T00:00:13.965431Z,1.42
0001-01-01T00:00:14.965433Z,1.42
0001-01-01T00:00:15.965431Z,1.42
0001-01-01T00:00:16.965432Z,1.42
0001-01-01T00:00:17.965431Z,1.42
0001-01-01T00:00:18.965432Z,1.42
0001-01-01T00:00:19.965431Z,1.42
0001-01-01T00:00:20.965432Z,1.42
2017-06-21T16:39:19.330015Z,1.41
2017-06-21T16:39:20.330013Z,1.42
2017-06-21T16:39:21.330012Z,1.41
2017-06-21T16:39:22.330014Z,1.41
2017-06-21T16:39:23.330016Z,1.41
2017-06-21T16:39:24.330015Z,1.41
