timestamp,CPU load in % for core FSP-1272
2017-06-21T16:39:29.586006Z,2.5
2017-06-21T16:39:30.586006Z,2.5
2017-06-21T16:39:31.586006Z,2.5
2017-06-21T16:39:26.330009Z,1.36
2017-06-21T16:39:27.330008Z,1.35
0001-01-01T00:00:07.365637Z,0.0
0001-01-01T00:00:08.365635Z,1.32
0001-01-01T00:00:09.365656Z,1.59
0001-01-01T00:00:10.365635Z,1.35
0001-01-01T00:00:11.365635Z,1.35
2017-06-21T16:39:07.330009Z,1.35
2017-06-21T16:39:08.330008Z,1.35
2017-06-21T16:39:09.330008Z,1.35
2017-06-21T16:39:10.330008Z,1.35
2017-06-21T16:39:11.330009Z,1.35
2017-06-21T16:39:12.330008Z,1.36
2017-06-21T16:39:13.330008Z,1.35
2017-06-21T16:39:14.330008Z,1.35
2017-06-21T16:39:15.330009Z,1.35
2017-06-21T16:39:16.330009Z,1.36
2017-06-21T16:39:36.586006Z,2.6
2017-06-21T16:39:37.586006Z,2.5
2017-06-21T16:39:38.586006Z,2.5
2017-06-21T16:39:39.586006Z,2.5
2017-06-21T16:39:40.586006Z,2.5
2017-06-21T16:39:41.586006Z,2.5
2017-06-21T16:39:42.586006Z,2.5
2017-06-21T16:39:43.586006Z,2.5
2017-06-21T16:39:44.586006Z,2.5
2017-06-21T16:39:45.586006Z,2.5
2017-06-21T16:39:46.586006Z,2.5
2017-06-21T16:39:47.586006Z,2.5
2017-06-21T16:39:48.586006Z,2.5
2017-06-21T16:39:49.586006Z,2.5
2017-06-21T16:39:50.586006Z,2.5
2017-06-21T16:39:51.586006Z,2.5
2017-06-21T16:39:52.586006Z,2.5
2017-06-21T16:39:53.586006Z,2.5
2017-06-21T16:39:54.586006Z,2.5
2017-06-21T16:39:55.586006Z,2.5
2017-06-21T16:39:56.586006Z,2.5
0001-01-01T00:00:11.429449Z,1.35
0001-01-01T00:00:12.429442Z,1.35
0001-01-01T00:00:13.429441Z,1.35
0001-01-01T00:00:14.429442Z,1.35
0001-01-01T00:00:15.429441Z,1.35
0001-01-01T00:00:16.429442Z,1.35
0001-01-01T00:00:17.429441Z,1.35
0001-01-01T00:00:18.429441Z,1.35
0001-01-01T00:00:19.429441Z,1.35
0001-01-01T00:00:20.429442Z,1.35
2017-06-21T16:39:19.330008Z,1.36
2017-06-21T16:39:20.330008Z,1.36
2017-06-21T16:39:21.330009Z,1.35
2017-06-21T16:39:22.330009Z,1.36
2017-06-21T16:39:23.330008Z,1.36
2017-06-21T16:39:24.330008Z,1.36
