timestamp,CPU load in % for core FSP-1284
2017-06-21T16:39:29.330009Z,1.49
2017-06-21T16:39:30.330009Z,1.48
2017-06-21T16:39:31.330009Z,1.48
2017-06-21T16:39:26.330010Z,1.49
2017-06-21T16:39:27.330010Z,1.49
0001-01-01T00:00:08.109587Z,1.48
0001-01-01T00:00:09.109581Z,1.48
0001-01-01T00:00:10.109581Z,1.49
0001-01-01T00:00:11.109581Z,1.49
0001-01-01T00:00:12.109581Z,1.49
2017-06-21T16:39:07.330009Z,1.5
2017-06-21T16:39:08.330009Z,1.48
2017-06-21T16:39:09.330009Z,1.49
2017-06-21T16:39:10.330009Z,1.49
2017-06-21T16:39:11.330010Z,1.48
2017-06-21T16:39:12.330009Z,1.49
2017-06-21T16:39:13.330009Z,1.49
2017-06-21T16:39:14.330009Z,1.48
2017-06-21T16:39:15.330010Z,1.48
2017-06-21T16:39:16.330009Z,1.49
2017-06-21T16:39:37.330010Z,1.48
2017-06-21T16:39:38.330009Z,1.49
2017-06-21T16:39:39.330010Z,1.48
2017-06-21T16:39:40.330009Z,1.48
2017-06-21T16:39:41.330009Z,1.49
2017-06-21T16:39:42.330009Z,1.48
2017-06-21T16:39:43.330009Z,1.49
2017-06-21T16:39:44.330009Z,1.5
2017-06-21T16:39:45.330009Z,1.49
2017-06-21T16:39:46.330009Z,1.49
2017-06-21T16:39:47.330009Z,1.5
2017-06-21T16:39:48.330009Z,1.49
2017-06-21T16:39:49.330009Z,1.49
2017-06-21T16:39:50.330009Z,1.51
2017-06-21T16:39:51.330010Z,1.49
2017-06-21T16:39:52.330009Z,1.49
2017-06-21T16:39:53.330009Z,1.5
2017-06-21T16:39:54.330009Z,1.49
2017-06-21T16:39:55.330009Z,1.49
2017-06-21T16:39:56.330009Z,1.5
0001-01-01T00:00:12.008189Z,1.5
0001-01-01T00:00:13.008185Z,1.5
0001-01-01T00:00:14.008185Z,1.51
0001-01-01T00:00:15.008185Z,1.51
0001-01-01T00:00:16.008185Z,1.51
0001-01-01T00:00:17.008186Z,1.51
0001-01-01T00:00:18.008185Z,1.51
0001-01-01T00:00:19.008185Z,1.51
0001-01-01T00:00:20.008185Z,1.5
0001-01-01T00:00:21.008185Z,1.51
2017-06-21T16:39:19.330009Z,1.49
2017-06-21T16:39:20.330009Z,1.48
2017-06-21T16:39:21.330010Z,1.48
2017-06-21T16:39:22.330009Z,1.5
2017-06-21T16:39:23.330009Z,1.49
2017-06-21T16:39:24.330009Z,1.49
