timestamp,CPU load in % for core FSP-1251
2017-06-21T16:39:29.483006Z,2.5
2017-06-21T16:39:30.483006Z,2.5
2017-06-21T16:39:31.483006Z,2.5
2017-06-21T16:39:26.330009Z,1.35
2017-06-21T16:39:27.330008Z,1.34
0001-01-01T00:00:07.335003Z,0.0
0001-01-01T00:00:08.335000Z,1.32
0001-01-01T00:00:09.335006Z,1.54
0001-01-01T00:00:10.335019Z,1.37
0001-01-01T00:00:11.335000Z,1.37
2017-06-21T16:39:07.330008Z,1.37
2017-06-21T16:39:08.330009Z,1.37
2017-06-21T16:39:09.330008Z,1.36
2017-06-21T16:39:10.330008Z,1.35
2017-06-21T16:39:11.330008Z,1.37
2017-06-21T16:39:12.330008Z,1.36
2017-06-21T16:39:13.330008Z,1.35
2017-06-21T16:39:14.330009Z,1.35
2017-06-21T16:39:15.330008Z,1.35
2017-06-21T16:39:16.330008Z,1.36
2017-06-21T16:39:37.483006Z,2.5
2017-06-21T16:39:38.483005Z,2.5
2017-06-21T16:39:39.483006Z,2.5
2017-06-21T16:39:40.483007Z,2.6
2017-06-21T16:39:41.483007Z,2.7
2017-06-21T16:39:42.483007Z,2.7
2017-06-21T16:39:43.483007Z,2.7
2017-06-21T16:39:44.483006Z,2.7
2017-06-21T16:39:45.483006Z,2.7
2017-06-21T16:39:46.483006Z,2.7
2017-06-21T16:39:47.483006Z,2.7
2017-06-21T16:39:48.483006Z,2.7
2017-06-21T16:39:49.483006Z,2.7
2017-06-21T16:39:50.483006Z,2.7
2017-06-21T16:39:51.483006Z,2.7
2017-06-21T16:39:52.483007Z,2.7
2017-06-21T16:39:53.483007Z,2.7
2017-06-21T16:39:54.483006Z,2.7
2017-06-21T16:39:55.483010Z,3.7
2017-06-21T16:39:56.483009Z,4.2
0001-01-01T00:00:11.202754Z,1.34
0001-01-01T00:00:12.202746Z,1.35
0001-01-01T00:00:13.202746Z,1.35
0001-01-01T00:00:14.202746Z,1.35
0001-01-01T00:00:15.202746Z,1.35
0001-01-01T00:00:16.202746Z,1.35
0001-01-01T00:00:17.202746Z,1.35
0001-01-01T00:00:18.202746Z,1.35
0001-01-01T00:00:19.202746Z,1.35
0001-01-01T00:00:20.202746Z,1.35
2017-06-21T16:39:19.330009Z,1.36
2017-06-21T16:39:20.330008Z,1.35
2017-06-21T16:39:21.330008Z,1.35
2017-06-21T16:39:22.330008Z,1.36
2017-06-21T16:39:23.330008Z,1.35
2017-06-21T16:39:24.330009Z,1.35
