timestamp,CPU load in % for core VM-1170
2017-06-21T16:39:28.944590Z,3.8
2017-06-21T16:39:29.508603Z,0.7
2017-06-21T16:39:29.508961Z,3.5
2017-06-21T16:39:29.944603Z,3.8
2017-06-21T16:39:30.508604Z,0.8
2017-06-21T16:39:30.508961Z,3.5
2017-06-21T16:39:30.944618Z,3.8
2017-06-21T16:39:31.507628Z,0.9
2017-06-21T16:39:31.508960Z,3.5
2017-06-21T16:39:26.507576Z,0.7
2017-06-21T16:39:26.508961Z,1.6
2017-06-21T16:39:26.944575Z,5.3
2017-06-21T16:39:27.507575Z,0.8
2017-06-21T16:39:27.508961Z,1.6
2017-06-21T16:39:27.944589Z,2.7
2017-06-21T16:36:41.507605Z,0.8
2017-06-21T16:36:41.508961Z,1.5
2017-06-21T16:36:41.944613Z,1.6
2017-06-21T16:36:42.507615Z,0.8
2017-06-21T16:36:42.508961Z,1.5
2017-06-21T16:36:42.944607Z,1.6
2017-06-21T16:36:43.507624Z,0.9
2017-06-21T16:36:43.508961Z,1.5
2017-06-21T16:36:43.944616Z,1.6
2017-06-21T16:36:44.507620Z,0.8
2017-06-21T16:36:44.508961Z,1.5
2017-06-21T16:36:44.944628Z,1.6
2017-06-21T16:36:45.507629Z,0.8
2017-06-21T16:36:45.508962Z,1.5
2017-06-21T16:36:45.944623Z,1.6
2017-06-21T16:36:46.507638Z,0.8
2017-06-21T16:36:46.508961Z,1.5
2017-06-21T16:36:46.944633Z,1.6
2017-06-21T16:36:47.507634Z,0.9
2017-06-21T16:36:47.508961Z,1.5
2017-06-21T16:36:47.944642Z,1.6
2017-06-21T16:36:48.508642Z,0.8
2017-06-21T16:36:48.508960Z,1.5
2017-06-21T16:36:48.944639Z,1.6
2017-06-21T16:36:49.507653Z,0.9
2017-06-21T16:36:49.508961Z,1.5
2017-06-21T16:36:49.944648Z,1.6
2017-06-21T16:36:50.508647Z,0.8
2017-06-21T16:36:50.508960Z,1.5
2017-06-21T16:36:50.944658Z,1.6
2017-06-21T16:36:51.507658Z,0.8
2017-06-21T16:36:51.508961Z,1.5
2017-06-21T16:36:51.944653Z,1.6
2017-06-21T16:36:52.508666Z,0.8
2017-06-21T16:36:52.508961Z,1.5
2017-06-21T16:36:52.944660Z,1.6
2017-06-21T16:36:53.507664Z,0.8
2017-06-21T16:36:53.508961Z,1.5
2017-06-21T16:36:53.944671Z,1.7
2017-06-21T16:36:54.507672Z,0.7
2017-06-21T16:36:54.508961Z,1.5
2017-06-21T16:36:54.944668Z,1.6
2017-06-21T16:36:55.507683Z,0.9
2017-06-21T16:36:55.508961Z,1.5
2017-06-21T16:36:55.944676Z,1.6
2017-06-21T16:36:56.507678Z,0.8
2017-06-21T16:36:56.508961Z,1.5
2017-06-21T16:36:56.944686Z,1.6
2017-06-21T16:36:57.507689Z,0.8
2017-06-21T16:36:57.508961Z,1.5
2017-06-21T16:36:57.944682Z,1.6
2017-06-21T16:36:58.507697Z,0.8
2017-06-21T16:36:58.508961Z,1.5
2017-06-21T16:36:58.944691Z,1.6
2017-06-21T16:36:59.507694Z,0.8
2017-06-21T16:36:59.508961Z,1.5
2017-06-21T16:36:59.944700Z,1.6
2017-06-21T16:37:00.506713Z,0.8
2017-06-21T16:37:00.508961Z,1.5
2017-06-21T16:37:00.944697Z,1.6
2017-06-21T16:37:01.506713Z,0.8
2017-06-21T16:37:01.508961Z,1.5
2017-06-21T16:37:01.944706Z,1.6
2017-06-21T16:37:02.506717Z,0.9
2017-06-21T16:37:02.508961Z,1.5
2017-06-21T16:37:02.944715Z,1.6
2017-06-21T16:37:03.507717Z,0.8
2017-06-21T16:37:03.508961Z,1.5
2017-06-21T16:37:03.944724Z,1.6
2017-06-21T16:37:04.507726Z,0.8
2017-06-21T16:37:04.508961Z,1.5
2017-06-21T16:37:04.944720Z,1.6
2017-06-21T16:37:05.506724Z,0.8
2017-06-21T16:37:05.508961Z,1.5
2017-06-21T16:37:05.944730Z,1.6
2017-06-21T16:37:06.506732Z,0.8
2017-06-21T16:37:06.508961Z,1.5
2017-06-21T16:37:06.944737Z,1.6
2017-06-21T16:37:07.506742Z,0.9
2017-06-21T16:37:07.508961Z,1.5
2017-06-21T16:37:07.944736Z,1.6
2017-06-21T16:37:08.506738Z,0.9
2017-06-21T16:37:08.508961Z,1.5
2017-06-21T16:37:08.944744Z,1.6
2017-06-21T16:37:09.506747Z,0.9
2017-06-21T16:37:09.508961Z,1.5
2017-06-21T16:37:09.944738Z,1.6
2017-06-21T16:37:10.506756Z,0.8
2017-06-21T16:37:10.508961Z,1.5
2017-06-21T16:37:10.944748Z,1.6
2017-06-21T16:37:11.506753Z,0.9
2017-06-21T16:37:11.508961Z,1.5
2017-06-21T16:37:11.944759Z,1.6
2017-06-21T16:37:12.506763Z,0.8
2017-06-21T16:37:12.508961Z,1.5
2017-06-21T16:37:12.944770Z,1.6
2017-06-21T16:37:13.506772Z,0.9
2017-06-21T16:37:13.508962Z,1.5
2017-06-21T16:37:13.944764Z,1.6
2017-06-21T16:37:14.506767Z,0.8
2017-06-21T16:37:14.508961Z,1.5
2017-06-21T16:37:14.944774Z,1.6
2017-06-21T16:37:15.506776Z,0.8
2017-06-21T16:37:15.508962Z,1.5
2017-06-21T16:37:15.944782Z,1.6
2017-06-21T16:37:16.506785Z,0.8
2017-06-21T16:37:16.508962Z,1.5
2017-06-21T16:37:16.944778Z,1.6
2017-06-21T16:37:17.507780Z,0.7
2017-06-21T16:37:17.508961Z,1.5
