timestamp,CPU load in % for core FSP-1241
2017-06-21T16:39:29.330017Z,1.41
2017-06-21T16:39:30.330015Z,1.41
2017-06-21T16:39:31.330015Z,1.41
2017-06-21T16:39:26.330013Z,1.43
2017-06-21T16:39:27.330015Z,1.41
0001-01-01T00:00:08.082657Z,1.43
0001-01-01T00:00:09.082654Z,1.42
0001-01-01T00:00:10.082652Z,1.42
0001-01-01T00:00:11.082653Z,1.42
0001-01-01T00:00:12.082652Z,1.42
2017-06-21T16:39:07.330014Z,1.43
2017-06-21T16:39:08.330014Z,1.42
2017-06-21T16:39:09.330015Z,1.42
2017-06-21T16:39:10.330014Z,1.42
2017-06-21T16:39:11.330015Z,1.42
2017-06-21T16:39:12.330014Z,1.42
2017-06-21T16:39:13.330016Z,1.41
2017-06-21T16:39:14.330014Z,1.41
2017-06-21T16:39:15.330015Z,1.42
2017-06-21T16:39:16.330014Z,1.41
2017-06-21T16:39:37.330017Z,1.4
2017-06-21T16:39:38.330014Z,1.43
2017-06-21T16:39:39.330022Z,2.12
2017-06-21T16:39:40.330023Z,2.14
2017-06-21T16:39:41.330026Z,2.14
2017-06-21T16:39:42.330025Z,2.14
2017-06-21T16:39:43.330023Z,2.15
2017-06-21T16:39:44.330025Z,2.15
2017-06-21T16:39:45.330025Z,2.18
2017-06-21T16:39:46.330022Z,2.15
2017-06-21T16:39:47.330021Z,2.18
2017-06-21T16:39:48.330021Z,2.24
2017-06-21T16:39:49.330024Z,2.21
2017-06-21T16:39:50.330023Z,2.22
2017-06-21T16:39:51.330023Z,2.2
2017-06-21T16:39:52.330022Z,2.2
2017-06-21T16:39:53.330023Z,2.2
2017-06-21T16:39:54.330024Z,2.21
2017-06-21T16:39:55.330077Z,7.07
2017-06-21T16:39:56.330079Z,6.98
0001-01-01T00:00:11.980556Z,1.42
0001-01-01T00:00:12.980550Z,1.42
0001-01-01T00:00:13.980549Z,1.42
0001-01-01T00:00:14.980551Z,1.42
0001-01-01T00:00:15.980549Z,1.42
0001-01-01T00:00:16.980551Z,1.42
0001-01-01T00:00:17.980550Z,1.42
0001-01-01T00:00:18.980551Z,1.42
0001-01-01T00:00:19.980549Z,1.42
0001-01-01T00:00:20.980550Z,1.42
2017-06-21T16:39:19.330015Z,1.41
2017-06-21T16:39:20.330013Z,1.43
2017-06-21T16:39:21.330013Z,1.42
2017-06-21T16:39:22.330013Z,1.43
2017-06-21T16:39:23.330013Z,1.42
2017-06-21T16:39:24.330015Z,1.41
