timestamp,CPU load in % for core FSP-1262
2017-06-21T16:39:29.483006Z,2.4
2017-06-21T16:39:30.483006Z,2.4
2017-06-21T16:39:31.483006Z,2.4
2017-06-21T16:39:26.330009Z,2.4
2017-06-21T16:39:27.330008Z,2.4
0001-01-01T00:00:08.096270Z,7.73
0001-01-01T00:00:09.096255Z,2.4
0001-01-01T00:00:10.096253Z,2.46
0001-01-01T00:00:11.096254Z,2.4
0001-01-01T00:00:12.096254Z,2.4
2017-06-21T16:39:07.330009Z,2.41
2017-06-21T16:39:08.330008Z,2.4
2017-06-21T16:39:09.330008Z,2.4
2017-06-21T16:39:10.330009Z,2.4
2017-06-21T16:39:11.330009Z,2.4
2017-06-21T16:39:12.330009Z,2.41
2017-06-21T16:39:13.330009Z,2.4
2017-06-21T16:39:14.330009Z,2.4
2017-06-21T16:39:15.330009Z,2.4
2017-06-21T16:39:16.330009Z,2.4
2017-06-21T16:39:37.483006Z,2.4
2017-06-21T16:39:38.483006Z,2.4
2017-06-21T16:39:39.483006Z,2.4
2017-06-21T16:39:40.483012Z,2.5
2017-06-21T16:39:41.483011Z,2.8
2017-06-21T16:39:42.483011Z,2.8
2017-06-21T16:39:43.483011Z,2.9
2017-06-21T16:39:44.483010Z,2.8
2017-06-21T16:39:45.483010Z,2.8
2017-06-21T16:39:46.483010Z,2.9
2017-06-21T16:39:47.483010Z,2.8
2017-06-21T16:39:48.483010Z,2.9
2017-06-21T16:39:49.483007Z,2.9
2017-06-21T16:39:50.483007Z,2.9
2017-06-21T16:39:51.483007Z,2.8
2017-06-21T16:39:52.483010Z,2.8
2017-06-21T16:39:53.483012Z,2.8
2017-06-21T16:39:54.483009Z,2.9
2017-06-21T16:39:55.483012Z,16.7
2017-06-21T16:39:56.483011Z,17.5
0001-01-01T00:00:11.965433Z,2.41
0001-01-01T00:00:12.965425Z,2.41
0001-01-01T00:00:13.965425Z,2.41
0001-01-01T00:00:14.965426Z,2.41
0001-01-01T00:00:15.965425Z,2.41
0001-01-01T00:00:16.965426Z,2.41
0001-01-01T00:00:17.965425Z,2.4
0001-01-01T00:00:18.965425Z,2.41
0001-01-01T00:00:19.965425Z,2.4
0001-01-01T00:00:20.965425Z,2.4
2017-06-21T16:39:19.330009Z,2.4
2017-06-21T16:39:20.330008Z,2.4
2017-06-21T16:39:21.330009Z,2.4
2017-06-21T16:39:22.330008Z,2.4
2017-06-21T16:39:23.330009Z,2.4
2017-06-21T16:39:24.330009Z,2.4
