timestamp,CPU load in % for core FSP-1244
2017-06-21T16:39:29.330010Z,1.49
2017-06-21T16:39:30.330009Z,1.49
2017-06-21T16:39:31.330010Z,1.5
2017-06-21T16:39:26.330010Z,1.49
2017-06-21T16:39:27.330010Z,1.5
0001-01-01T00:00:08.082651Z,1.48
0001-01-01T00:00:09.082646Z,1.48
0001-01-01T00:00:10.082646Z,1.48
0001-01-01T00:00:11.082646Z,1.48
0001-01-01T00:00:12.082646Z,1.48
2017-06-21T16:39:07.330009Z,1.49
2017-06-21T16:39:08.330009Z,1.48
2017-06-21T16:39:09.330009Z,1.48
2017-06-21T16:39:10.330009Z,1.49
2017-06-21T16:39:11.330010Z,1.48
2017-06-21T16:39:12.330009Z,1.49
2017-06-21T16:39:13.330009Z,1.49
2017-06-21T16:39:14.330009Z,1.49
2017-06-21T16:39:15.330010Z,1.49
2017-06-21T16:39:16.330009Z,1.49
2017-06-21T16:39:37.330012Z,1.78
2017-06-21T16:39:38.330011Z,1.78
2017-06-21T16:39:39.330011Z,1.78
2017-06-21T16:39:40.330011Z,1.79
2017-06-21T16:39:41.330012Z,1.78
2017-06-21T16:39:42.330012Z,1.76
2017-06-21T16:39:43.330013Z,1.74
2017-06-21T16:39:44.330011Z,1.74
2017-06-21T16:39:45.330011Z,1.75
2017-06-21T16:39:46.330012Z,1.74
2017-06-21T16:39:47.330012Z,1.74
2017-06-21T16:39:48.330011Z,1.74
2017-06-21T16:39:49.330012Z,1.74
2017-06-21T16:39:50.330013Z,1.75
2017-06-21T16:39:51.330012Z,1.74
2017-06-21T16:39:52.330011Z,1.74
2017-06-21T16:39:53.330012Z,1.74
2017-06-21T16:39:54.330011Z,1.74
2017-06-21T16:39:55.330015Z,4.95
2017-06-21T16:39:56.330015Z,4.96
0001-01-01T00:00:11.980549Z,1.49
0001-01-01T00:00:12.980544Z,1.49
0001-01-01T00:00:13.980544Z,1.49
0001-01-01T00:00:14.980544Z,1.49
0001-01-01T00:00:15.980543Z,1.48
0001-01-01T00:00:16.980544Z,1.48
0001-01-01T00:00:17.980543Z,1.49
0001-01-01T00:00:18.980544Z,1.48
0001-01-01T00:00:19.980544Z,1.48
0001-01-01T00:00:20.980544Z,1.49
2017-06-21T16:39:19.330009Z,1.49
2017-06-21T16:39:20.330009Z,1.49
2017-06-21T16:39:21.330010Z,1.49
2017-06-21T16:39:22.330009Z,1.5
2017-06-21T16:39:23.330009Z,1.49
2017-06-21T16:39:24.330009Z,1.49
