timestamp,CPU load in % for core FSP-1233
2017-06-21T16:39:29.692005Z,3.2
2017-06-21T16:39:30.692006Z,3.2
2017-06-21T16:39:26.570008Z,1.95
2017-06-21T16:39:27.692006Z,2.1
2017-06-21T16:39:12.570011Z,1.94
2017-06-21T16:39:13.570009Z,1.94
2017-06-21T16:39:14.570008Z,1.95
2017-06-21T16:39:15.570008Z,1.94
2017-06-21T16:39:16.570008Z,1.94
2017-06-21T16:39:36.692006Z,3.2
2017-06-21T16:39:37.692006Z,3.2
2017-06-21T16:39:38.692006Z,3.2
2017-06-21T16:39:39.692008Z,3.4
2017-06-21T16:39:40.692007Z,3.4
2017-06-21T16:39:41.692007Z,3.4
2017-06-21T16:39:42.692008Z,3.4
2017-06-21T16:39:43.692008Z,3.4
2017-06-21T16:39:44.692007Z,3.4
2017-06-21T16:39:45.692007Z,3.4
2017-06-21T16:39:46.692008Z,3.4
2017-06-21T16:39:47.692008Z,3.4
2017-06-21T16:39:48.692007Z,3.4
2017-06-21T16:39:49.692008Z,3.4
2017-06-21T16:39:50.692008Z,3.4
2017-06-21T16:39:51.692007Z,3.4
2017-06-21T16:39:52.692008Z,3.4
2017-06-21T16:39:53.692007Z,3.3
2017-06-21T16:39:54.692011Z,4.7
2017-06-21T16:39:55.692011Z,13.0
2017-06-21T16:39:56.692011Z,13.1
0001-01-01T00:00:11.271006Z,1.98
0001-01-01T00:00:12.271001Z,1.94
0001-01-01T00:00:13.271001Z,1.95
0001-01-01T00:00:14.271001Z,1.95
0001-01-01T00:00:15.271001Z,1.95
0001-01-01T00:00:16.271001Z,1.95
0001-01-01T00:00:17.271001Z,1.95
0001-01-01T00:00:18.271001Z,1.94
0001-01-01T00:00:19.271001Z,1.95
0001-01-01T00:00:20.271001Z,1.95
2017-06-21T16:39:19.570008Z,1.94
2017-06-21T16:39:20.570008Z,1.95
2017-06-21T16:39:21.570008Z,1.95
2017-06-21T16:39:22.570008Z,1.95
2017-06-21T16:39:23.570008Z,1.94
