timestamp,CPU load in % for core FSP-1263
2017-06-21T16:39:29.483006Z,3.5
2017-06-21T16:39:30.483006Z,3.5
2017-06-21T16:39:31.483006Z,3.5
2017-06-21T16:39:26.330009Z,3.52
2017-06-21T16:39:27.330008Z,3.51
0001-01-01T00:00:08.096260Z,8.01
0001-01-01T00:00:09.096253Z,3.51
0001-01-01T00:00:10.096254Z,3.57
0001-01-01T00:00:11.096253Z,3.51
0001-01-01T00:00:12.096254Z,3.51
2017-06-21T16:39:07.330009Z,3.52
2017-06-21T16:39:08.330009Z,3.51
2017-06-21T16:39:09.330009Z,3.51
2017-06-21T16:39:10.330009Z,3.51
2017-06-21T16:39:11.330008Z,3.51
2017-06-21T16:39:12.330009Z,3.52
2017-06-21T16:39:13.330008Z,3.51
2017-06-21T16:39:14.330009Z,3.52
2017-06-21T16:39:15.330008Z,3.51
2017-06-21T16:39:16.330009Z,3.51
2017-06-21T16:39:37.483006Z,3.5
2017-06-21T16:39:38.483006Z,3.5
2017-06-21T16:39:39.483006Z,3.5
2017-06-21T16:39:40.483010Z,3.6
2017-06-21T16:39:41.483009Z,3.9
2017-06-21T16:39:42.483009Z,3.9
2017-06-21T16:39:43.483009Z,3.9
2017-06-21T16:39:44.483009Z,3.9
2017-06-21T16:39:45.483008Z,3.9
2017-06-21T16:39:46.483009Z,3.9
2017-06-21T16:39:47.483009Z,3.9
2017-06-21T16:39:48.483009Z,3.9
2017-06-21T16:39:49.483007Z,4.0
2017-06-21T16:39:50.483007Z,4.0
2017-06-21T16:39:51.483006Z,3.9
2017-06-21T16:39:52.483009Z,3.9
2017-06-21T16:39:53.483010Z,3.9
2017-06-21T16:39:54.483008Z,3.9
2017-06-21T16:39:55.483010Z,9.2
2017-06-21T16:39:56.483010Z,9.6
0001-01-01T00:00:11.965431Z,3.51
0001-01-01T00:00:12.965425Z,3.51
0001-01-01T00:00:13.965425Z,3.51
0001-01-01T00:00:14.965425Z,3.51
0001-01-01T00:00:15.965425Z,3.51
0001-01-01T00:00:16.965425Z,3.5
0001-01-01T00:00:17.965425Z,3.5
0001-01-01T00:00:18.965425Z,3.51
0001-01-01T00:00:19.965426Z,3.51
0001-01-01T00:00:20.965425Z,3.51
2017-06-21T16:39:19.330008Z,3.51
2017-06-21T16:39:20.330009Z,3.52
2017-06-21T16:39:21.330008Z,3.51
2017-06-21T16:39:22.330009Z,3.51
2017-06-21T16:39:23.330008Z,3.51
2017-06-21T16:39:24.330009Z,3.51
