timestamp,CPU load in % for core VM-1160
2017-06-21T16:39:53.207544Z,0.1
2017-06-21T16:39:54.207543Z,0.1
2017-06-21T16:39:56.112928Z,0.1
2017-06-21T16:39:57.112928Z,0.1
2017-06-21T16:39:58.112928Z,0.1
2017-06-21T16:39:59.670926Z,0.1
2017-06-21T16:40:00.670929Z,0.1
2017-06-21T16:40:01.670928Z,0.1
2017-06-21T16:40:02.670929Z,0.1
2017-06-21T16:40:03.670928Z,0.1
2017-06-21T16:40:04.670929Z,0.1
2017-06-21T16:40:05.670928Z,0.1
2017-06-21T16:40:06.670929Z,0.1
2017-06-21T16:40:07.670929Z,0.1
2017-06-21T16:40:08.670928Z,0.1
2017-06-21T16:40:09.670929Z,0.1
2017-06-21T16:40:10.670928Z,0.1
2017-06-21T16:40:11.670928Z,0.1
2017-06-21T16:40:12.670928Z,0.1
2017-06-21T16:40:13.670928Z,0.1
2017-06-21T16:40:14.670928Z,0.1
2017-06-21T16:40:15.670929Z,0.1
2017-06-21T16:40:16.670928Z,0.1
2017-06-21T16:40:17.670928Z,0.1
2017-06-21T16:40:18.670928Z,0.1
2017-06-21T16:40:19.670929Z,0.1
2017-06-21T16:40:20.670928Z,0.1
2017-06-21T16:40:21.670928Z,0.1
2017-06-21T16:40:22.670929Z,0.1
2017-06-21T16:40:23.670929Z,0.1
2017-06-21T16:40:24.670928Z,0.1
2017-06-21T16:40:25.670928Z,0.1
2017-06-21T16:40:26.670927Z,0.1
2017-06-21T16:40:27.670927Z,0.1
2017-06-21T16:40:28.670927Z,0.1
2017-06-21T16:40:29.670927Z,0.1
2017-06-21T16:40:30.670927Z,0.1
2017-06-21T16:40:31.670927Z,0.1
2017-06-21T16:40:32.670927Z,0.1
2017-06-21T16:40:33.670927Z,0.1
2017-06-21T16:40:34.670927Z,0.1
2017-06-21T16:40:35.670927Z,0.1
2017-06-21T16:40:36.670927Z,0.1
2017-06-21T16:40:37.670927Z,0.1
2017-06-21T16:40:38.670927Z,0.1
2017-06-21T16:40:39.670926Z,0.1
2017-06-21T16:40:40.670926Z,0.1
2017-06-21T16:40:41.670927Z,0.1
2017-06-21T16:40:42.670928Z,0.1
2017-06-21T16:40:43.670929Z,0.1
2017-06-21T16:40:44.670929Z,0.1
2017-06-21T16:40:45.670927Z,0.1
2017-06-21T16:40:46.670928Z,0.1
2017-06-21T16:40:47.670928Z,0.1
2017-06-21T16:40:48.670928Z,0.1
2017-06-21T16:40:49.670927Z,0.1
2017-06-21T16:40:50.670928Z,0.1
2017-06-21T16:40:51.670928Z,0.1
2017-06-21T16:40:52.670928Z,0.1
2017-06-21T16:40:53.670928Z,0.1
2017-06-21T16:40:54.670928Z,0.1
2017-06-21T16:40:55.670928Z,0.1
2017-06-21T16:40:56.670928Z,0.1
2017-06-21T16:40:57.670927Z,0.1
2017-06-21T16:40:58.670928Z,0.1
2017-06-21T16:40:59.670928Z,0.1
2017-06-21T16:41:00.670928Z,0.1
2017-06-21T16:41:01.670928Z,0.1
2017-06-21T16:41:02.670928Z,0.1
2017-06-21T16:41:03.670928Z,0.1
2017-06-21T16:41:04.670928Z,0.1
2017-06-21T16:41:05.670928Z,0.1
2017-06-21T16:41:06.670929Z,0.1
2017-06-21T16:41:07.670928Z,0.1
2017-06-21T16:41:08.670928Z,0.1
2017-06-21T16:41:09.670928Z,0.1
2017-06-21T16:41:10.670927Z,0.1
2017-06-21T16:41:11.670927Z,0.1
2017-06-21T16:41:12.670927Z,0.1
2017-06-21T16:41:13.670927Z,0.1
2017-06-21T16:41:14.670927Z,0.1
2017-06-21T16:41:15.670927Z,0.1
2017-06-21T16:41:16.670927Z,0.1
2017-06-21T16:41:17.670927Z,0.1
2017-06-21T16:41:18.670927Z,0.1
