timestamp,CPU load in % for core FSP-1242
2017-06-21T16:39:29.692006Z,2.6
2017-06-21T16:39:30.692006Z,2.6
2017-06-21T16:39:26.330009Z,2.6
2017-06-21T16:39:27.692007Z,2.8
0001-01-01T00:00:08.082653Z,7.93
0001-01-01T00:00:09.082648Z,2.6
0001-01-01T00:00:10.082646Z,2.66
0001-01-01T00:00:11.082646Z,2.6
0001-01-01T00:00:12.082646Z,2.6
2017-06-21T16:39:07.330008Z,2.61
2017-06-21T16:39:08.330009Z,2.6
2017-06-21T16:39:09.330009Z,2.6
2017-06-21T16:39:10.330009Z,2.6
2017-06-21T16:39:11.330009Z,2.59
2017-06-21T16:39:12.330009Z,2.59
2017-06-21T16:39:13.330009Z,2.59
2017-06-21T16:39:14.330009Z,2.59
2017-06-21T16:39:15.330009Z,2.59
2017-06-21T16:39:16.330009Z,2.59
2017-06-21T16:39:36.692006Z,2.6
2017-06-21T16:39:37.692006Z,2.6
2017-06-21T16:39:38.692006Z,2.6
2017-06-21T16:39:39.692013Z,3.0
2017-06-21T16:39:40.692012Z,3.0
2017-06-21T16:39:41.692013Z,3.0
2017-06-21T16:39:42.692012Z,3.0
2017-06-21T16:39:43.692013Z,3.0
2017-06-21T16:39:44.692012Z,3.0
2017-06-21T16:39:45.692010Z,3.0
2017-06-21T16:39:46.692011Z,3.0
2017-06-21T16:39:47.692012Z,3.0
2017-06-21T16:39:48.692012Z,3.0
2017-06-21T16:39:49.692011Z,3.0
2017-06-21T16:39:50.692011Z,3.1
2017-06-21T16:39:51.692012Z,3.0
2017-06-21T16:39:52.692011Z,3.0
2017-06-21T16:39:53.692011Z,3.0
2017-06-21T16:39:54.692011Z,3.0
2017-06-21T16:39:55.692010Z,3.0
2017-06-21T16:39:56.692011Z,3.0
0001-01-01T00:00:11.980551Z,2.6
0001-01-01T00:00:12.980544Z,2.59
0001-01-01T00:00:13.980543Z,2.59
0001-01-01T00:00:14.980544Z,2.6
0001-01-01T00:00:15.980543Z,2.59
0001-01-01T00:00:16.980544Z,2.6
0001-01-01T00:00:17.980543Z,2.59
0001-01-01T00:00:18.980544Z,2.6
0001-01-01T00:00:19.980543Z,2.59
0001-01-01T00:00:20.980544Z,2.6
2017-06-21T16:39:19.330009Z,2.59
2017-06-21T16:39:20.330009Z,2.6
2017-06-21T16:39:21.330008Z,2.6
2017-06-21T16:39:22.330008Z,2.6
2017-06-21T16:39:23.330008Z,2.59
2017-06-21T16:39:24.330009Z,2.6
