timestamp,CPU load in % for core FSP-1281
2017-06-21T16:39:29.330016Z,1.41
2017-06-21T16:39:30.330014Z,1.42
2017-06-21T16:39:31.330015Z,1.41
2017-06-21T16:39:26.330015Z,1.41
2017-06-21T16:39:27.330015Z,1.41
0001-01-01T00:00:08.109594Z,1.43
0001-01-01T00:00:09.109590Z,1.41
0001-01-01T00:00:10.109587Z,1.41
0001-01-01T00:00:11.109588Z,1.41
0001-01-01T00:00:12.109587Z,1.41
2017-06-21T16:39:07.330013Z,1.43
2017-06-21T16:39:08.330014Z,1.41
2017-06-21T16:39:09.330015Z,1.42
2017-06-21T16:39:10.330014Z,1.41
2017-06-21T16:39:11.330015Z,1.41
2017-06-21T16:39:12.330014Z,1.41
2017-06-21T16:39:13.330016Z,1.41
2017-06-21T16:39:14.330014Z,1.41
2017-06-21T16:39:15.330015Z,1.41
2017-06-21T16:39:16.330014Z,1.41
2017-06-21T16:39:37.330016Z,1.41
2017-06-21T16:39:38.330014Z,1.41
2017-06-21T16:39:39.330016Z,1.41
2017-06-21T16:39:40.330014Z,1.42
2017-06-21T16:39:41.330015Z,1.41
2017-06-21T16:39:42.330014Z,1.41
2017-06-21T16:39:43.330015Z,1.41
2017-06-21T16:39:44.330014Z,1.41
2017-06-21T16:39:45.330014Z,1.42
2017-06-21T16:39:46.330015Z,1.41
2017-06-21T16:39:47.330014Z,1.43
2017-06-21T16:39:48.330013Z,1.43
2017-06-21T16:39:49.330014Z,1.44
2017-06-21T16:39:50.330016Z,1.43
2017-06-21T16:39:51.330015Z,1.41
2017-06-21T16:39:52.330014Z,1.41
2017-06-21T16:39:53.330016Z,1.41
2017-06-21T16:39:54.330015Z,1.41
2017-06-21T16:39:55.330015Z,1.42
2017-06-21T16:39:56.330015Z,1.41
0001-01-01T00:00:12.008198Z,1.41
0001-01-01T00:00:13.008192Z,1.42
0001-01-01T00:00:14.008191Z,1.41
0001-01-01T00:00:15.008192Z,1.41
0001-01-01T00:00:16.008190Z,1.41
0001-01-01T00:00:17.008192Z,1.41
0001-01-01T00:00:18.008191Z,1.41
0001-01-01T00:00:19.008192Z,1.41
0001-01-01T00:00:20.008191Z,1.41
0001-01-01T00:00:21.008191Z,1.42
2017-06-21T16:39:19.330015Z,1.41
2017-06-21T16:39:20.330014Z,1.41
2017-06-21T16:39:21.330016Z,1.41
2017-06-21T16:39:22.330013Z,1.42
2017-06-21T16:39:23.330013Z,1.42
2017-06-21T16:39:24.330014Z,1.42
