timestamp,CPU load in % for core FSP-1243
2017-06-21T16:39:29.692006Z,3.7
2017-06-21T16:39:30.692006Z,3.7
2017-06-21T16:39:26.330009Z,3.69
2017-06-21T16:39:27.692006Z,3.8
0001-01-01T00:00:08.082652Z,8.23
0001-01-01T00:00:09.082646Z,3.7
0001-01-01T00:00:10.082646Z,3.76
0001-01-01T00:00:11.082646Z,3.7
0001-01-01T00:00:12.082646Z,3.7
2017-06-21T16:39:07.330009Z,3.71
2017-06-21T16:39:08.330009Z,3.71
2017-06-21T16:39:09.330009Z,3.7
2017-06-21T16:39:10.330009Z,3.7
2017-06-21T16:39:11.330008Z,3.69
2017-06-21T16:39:12.330009Z,3.69
2017-06-21T16:39:13.330008Z,3.69
2017-06-21T16:39:14.330009Z,3.69
2017-06-21T16:39:15.330008Z,3.69
2017-06-21T16:39:16.330009Z,3.7
2017-06-21T16:39:36.692006Z,3.7
2017-06-21T16:39:37.692006Z,3.7
2017-06-21T16:39:38.692006Z,3.7
2017-06-21T16:39:39.692011Z,4.0
2017-06-21T16:39:40.692016Z,4.1
2017-06-21T16:39:41.692019Z,4.1
2017-06-21T16:39:42.692020Z,4.1
2017-06-21T16:39:43.692011Z,4.1
2017-06-21T16:39:44.692010Z,4.1
2017-06-21T16:39:45.692009Z,4.1
2017-06-21T16:39:46.692010Z,4.1
2017-06-21T16:39:47.692010Z,4.1
2017-06-21T16:39:48.692010Z,4.1
2017-06-21T16:39:49.692010Z,4.1
2017-06-21T16:39:50.692010Z,4.2
2017-06-21T16:39:51.692010Z,4.1
2017-06-21T16:39:52.692010Z,4.2
2017-06-21T16:39:53.692009Z,4.1
2017-06-21T16:39:54.692010Z,4.2
2017-06-21T16:39:55.692009Z,4.8
2017-06-21T16:39:56.692009Z,4.9
0001-01-01T00:00:11.980549Z,3.69
0001-01-01T00:00:12.980543Z,3.69
0001-01-01T00:00:13.980544Z,3.69
0001-01-01T00:00:14.980544Z,3.7
0001-01-01T00:00:15.980543Z,3.7
0001-01-01T00:00:16.980543Z,3.7
0001-01-01T00:00:17.980544Z,3.7
0001-01-01T00:00:18.980543Z,3.7
0001-01-01T00:00:19.980544Z,3.7
0001-01-01T00:00:20.980544Z,3.7
2017-06-21T16:39:19.330008Z,3.69
2017-06-21T16:39:20.330009Z,3.7
2017-06-21T16:39:21.330008Z,3.7
2017-06-21T16:39:22.330009Z,3.7
2017-06-21T16:39:23.330008Z,3.7
2017-06-21T16:39:24.330009Z,3.7
