timestamp,RLC throughput in kbps for core VM-1170
2017-06-21 16:39:33.136273,0.0
2017-06-21 16:39:35.136273,0.0
2017-06-21 16:39:37.136273,0.0
2017-06-21 16:39:33.136284,0.0
2017-06-21 16:39:35.136284,0.0
2017-06-21 16:39:37.136284,0.0
2017-06-21 16:39:39.280418,0.0
2017-06-21 16:39:41.280418,0.0
2017-06-21 16:39:43.280418,0.0
2017-06-21 16:39:39.280427,0.0
2017-06-21 16:39:41.280427,0.0
2017-06-21 16:39:43.280427,0.0
2017-06-21 16:39:45.424554,0.0
2017-06-21 16:39:47.424554,0.0
2017-06-21 16:39:49.424554,0.0
2017-06-21 16:39:45.424565,0.0
2017-06-21 16:39:47.424565,0.0
2017-06-21 16:39:49.424565,0.05078125
2017-06-21 16:39:51.568684,0.0
2017-06-21 16:39:53.568684,0.0
2017-06-21 16:39:55.568684,0.0
2017-06-21 16:39:51.568698,0.0
2017-06-21 16:39:53.568698,0.0
2017-06-21 16:39:55.568698,0.0
2017-06-21 16:39:57.712807,0.0
2017-06-21 16:39:59.712807,0.0
2017-06-21 16:40:01.712807,0.0
2017-06-21 16:39:57.712821,0.0
2017-06-21 16:39:59.712821,0.0
2017-06-21 16:40:01.712821,0.0
2017-06-21 16:40:03.856910,0.0
2017-06-21 16:40:05.856910,0.0
2017-06-21 16:40:07.856910,0.0
2017-06-21 16:40:03.856921,0.0
2017-06-21 16:40:05.856921,0.0
2017-06-21 16:40:07.856921,0.0
2017-06-21 16:40:10.001017,0.0
2017-06-21 16:40:12.001017,0.0
2017-06-21 16:40:14.001017,0.0
2017-06-21 16:40:10.001040,0.0
2017-06-21 16:40:12.001040,0.0
2017-06-21 16:40:14.001040,0.0
2017-06-21 16:40:16.145117,0.0
2017-06-21 16:40:18.145117,0.0
2017-06-21 16:40:20.145117,0.0
2017-06-21 16:40:16.145129,0.0
2017-06-21 16:40:18.145129,0.0
2017-06-21 16:40:20.145129,0.0
2017-06-21 16:40:22.289198,0.0
2017-06-21 16:40:24.289198,0.0
2017-06-21 16:40:26.289198,0.0
2017-06-21 16:40:22.289211,0.0
2017-06-21 16:40:24.289211,0.0
2017-06-21 16:40:26.289211,0.0
2017-06-21 16:40:28.433260,0.0
2017-06-21 16:40:30.433260,0.0
2017-06-21 16:40:32.433260,0.0
2017-06-21 16:40:28.433275,0.0
2017-06-21 16:40:30.433275,0.0
2017-06-21 16:40:32.433275,0.0
2017-06-21 16:40:34.577321,0.0
2017-06-21 16:40:36.577321,0.0
2017-06-21 16:40:38.577321,0.0
2017-06-21 16:40:34.577334,0.0
2017-06-21 16:40:36.577334,0.0
2017-06-21 16:40:38.577334,0.0
2017-06-21 16:40:40.721382,0.0
2017-06-21 16:40:42.721382,0.0
2017-06-21 16:40:44.721382,0.0
2017-06-21 16:40:40.721394,0.0
2017-06-21 16:40:42.721394,0.0
2017-06-21 16:40:44.721394,0.0
2017-06-21 16:40:46.865440,0.0
2017-06-21 16:40:48.865440,0.0
2017-06-21 16:40:50.865440,0.0
2017-06-21 16:40:46.865456,0.0
2017-06-21 16:40:48.865456,0.0
2017-06-21 16:40:50.865456,0.0
2017-06-21 16:40:53.009503,0.0
2017-06-21 16:40:55.009503,0.0
2017-06-21 16:40:57.009503,0.0
2017-06-21 16:40:53.009518,0.0
2017-06-21 16:40:55.009518,0.0
2017-06-21 16:40:57.009518,0.0
2017-06-21 16:40:59.153561,0.0
2017-06-21 16:41:01.153561,0.0
2017-06-21 16:41:03.153561,0.0
2017-06-21 16:40:59.153574,0.0
2017-06-21 16:41:01.153574,0.0
2017-06-21 16:41:03.153574,0.0
2017-06-21 16:41:05.297620,0.0
2017-06-21 16:41:07.297620,0.0
2017-06-21 16:41:09.297620,0.0
2017-06-21 16:41:05.297632,0.0
2017-06-21 16:41:07.297632,0.0
2017-06-21 16:41:09.297632,0.0
2017-06-21 16:41:11.441680,0.0
2017-06-21 16:41:13.441680,0.0
2017-06-21 16:41:15.441680,0.0
2017-06-21 16:41:11.441692,0.0
2017-06-21 16:41:13.441692,0.0
2017-06-21 16:41:15.441692,0.0
2017-06-21 16:41:17.585737,0.0
2017-06-21 16:41:19.585737,0.0
2017-06-21 16:41:21.585737,0.0
2017-06-21 16:41:17.585749,0.0
2017-06-21 16:41:19.585749,0.0
2017-06-21 16:41:21.585749,0.0
2017-06-21 16:41:23.729795,0.0
2017-06-21 16:41:25.729795,0.0
2017-06-21 16:41:27.729795,0.0
2017-06-21 16:41:23.729809,0.0
2017-06-21 16:41:25.729809,0.0
2017-06-21 16:41:27.729809,0.0
2017-06-21 16:41:29.873853,0.0
2017-06-21 16:41:31.873853,0.0
2017-06-21 16:41:33.873853,0.0
2017-06-21 16:41:29.873869,0.0
2017-06-21 16:41:31.873869,0.0
2017-06-21 16:41:33.873869,0.0
2017-06-21 16:41:36.017912,0.0
2017-06-21 16:41:38.017912,0.0
2017-06-21 16:41:40.017912,0.0
2017-06-21 16:41:36.017925,0.0
2017-06-21 16:41:38.017925,0.0
2017-06-21 16:41:40.017925,0.0
2017-06-21 16:41:42.161969,0.0
2017-06-21 16:41:44.161969,0.0
2017-06-21 16:41:46.161969,0.0
2017-06-21 16:41:42.161982,0.0
2017-06-21 16:41:44.161982,0.0
2017-06-21 16:41:46.161982,0.0
2017-06-21 16:41:48.306026,0.0
2017-06-21 16:41:50.306026,0.0
2017-06-21 16:41:52.306026,0.0
2017-06-21 16:41:48.306046,0.0
2017-06-21 16:41:50.306046,0.0
2017-06-21 16:41:52.306046,0.0
2017-06-21 16:41:54.450076,0.0
2017-06-21 16:41:56.450076,0.0
2017-06-21 16:41:58.450076,0.0
2017-06-21 16:41:54.450089,0.0
2017-06-21 16:41:56.450089,0.0
2017-06-21 16:41:58.450089,0.0
2017-06-21 16:42:00.594141,0.0
2017-06-21 16:42:02.594141,0.0
2017-06-21 16:42:04.594141,0.0
2017-06-21 16:42:00.594154,0.0
2017-06-21 16:42:02.594154,0.0
2017-06-21 16:42:04.594154,0.0
2017-06-21 16:42:06.738197,0.0
2017-06-21 16:42:08.738197,0.0
2017-06-21 16:42:10.738197,0.0
2017-06-21 16:42:06.738211,0.0
2017-06-21 16:42:08.738211,0.0
2017-06-21 16:42:10.738211,0.0
2017-06-21 16:42:12.882255,0.0
2017-06-21 16:42:14.882255,0.0
2017-06-21 16:42:16.882255,0.0
2017-06-21 16:42:12.882267,0.0
2017-06-21 16:42:14.882267,0.0
2017-06-21 16:42:16.882267,0.0
2017-06-21 16:42:19.026311,0.0
2017-06-21 16:42:21.026311,0.0
2017-06-21 16:42:23.026311,0.0
2017-06-21 16:42:19.026327,0.0
2017-06-21 16:42:21.026327,0.0
2017-06-21 16:42:23.026327,0.0
2017-06-21 16:42:25.170368,0.0
2017-06-21 16:42:27.170368,0.0
2017-06-21 16:42:29.170368,0.0
2017-06-21 16:42:25.170380,0.0
2017-06-21 16:42:27.170380,0.0
2017-06-21 16:42:29.170380,0.0
2017-06-21 16:42:31.314429,0.0
2017-06-21 16:42:33.314429,0.0
2017-06-21 16:42:35.314429,0.0
2017-06-21 16:42:31.314441,0.0
2017-06-21 16:42:33.314441,0.0
2017-06-21 16:42:35.314441,0.0
2017-06-21 16:42:37.458491,0.0
2017-06-21 16:42:39.458491,0.0
2017-06-21 16:42:41.458491,0.0
2017-06-21 16:42:37.458503,0.0
2017-06-21 16:42:39.458503,0.0
2017-06-21 16:42:41.458503,0.0
2017-06-21 16:42:43.602549,0.0
2017-06-21 16:42:45.602549,0.0
2017-06-21 16:42:47.602549,0.0
2017-06-21 16:42:43.602562,0.0
2017-06-21 16:42:45.602562,0.0
2017-06-21 16:42:47.602562,0.0
2017-06-21 16:42:49.746610,0.0
2017-06-21 16:42:51.746610,0.0
2017-06-21 16:42:53.746610,0.0
2017-06-21 16:42:49.746625,0.0
2017-06-21 16:42:51.746625,0.0
2017-06-21 16:42:53.746625,0.0
2017-06-21 16:42:55.890671,0.0
2017-06-21 16:42:57.890671,0.0
2017-06-21 16:42:59.890671,0.0
2017-06-21 16:42:55.890683,0.0
2017-06-21 16:42:57.890683,0.0
2017-06-21 16:42:59.890683,0.0
2017-06-21 16:43:02.034717,0.0
2017-06-21 16:43:04.034717,0.0
2017-06-21 16:43:06.034717,0.0
2017-06-21 16:43:02.034730,0.0
2017-06-21 16:43:04.034730,0.0
2017-06-21 16:43:06.034730,0.0
2017-06-21 16:43:08.178777,0.0
2017-06-21 16:43:10.178777,0.0
2017-06-21 16:43:12.178777,0.0
2017-06-21 16:43:08.178789,0.0
2017-06-21 16:43:10.178789,0.0
2017-06-21 16:43:12.178789,0.0
2017-06-21 16:43:14.322835,0.0
2017-06-21 16:43:16.322835,0.0
2017-06-21 16:43:18.322835,0.0
2017-06-21 16:43:14.322847,0.0
2017-06-21 16:43:16.322847,0.0
2017-06-21 16:43:18.322847,0.0
2017-06-21 16:43:20.466891,0.0
2017-06-21 16:43:22.466891,0.0
2017-06-21 16:43:24.466891,0.0
2017-06-21 16:43:20.466906,0.0
2017-06-21 16:43:22.466906,0.0
2017-06-21 16:43:24.466906,0.0
